LOCAL_000195	The Critters
LOCAL_000196	Little Caesar
LOCAL_000197	No Fun at All
LOCAL_000198	Bach-Collegium Stuttgart
LOCAL_000199	Messiah
LOCAL_000200	Re Niliu
LOCAL_000201	The Men
LOCAL_000202	Torsofuck
LOCAL_000203	Midnight Resistance
LOCAL_000204	Foghat
LOCAL_000205	Todomondo
LOCAL_000206	Black River
LOCAL_000207	Drottnar
LOCAL_000208	The Awesome Machine
LOCAL_000209	My Silent Wake
LOCAL_000210	Partenaire Particulier
LOCAL_000211	H-Blockx
LOCAL_000212	Babybird
LOCAL_000213	Steel Magnolia
LOCAL_000214	Devil Sold His Soul
LOCAL_000215	Stiller Has
LOCAL_000216	The dB's
LOCAL_000217	Groove Armada
LOCAL_000218	Morphia
LOCAL_000219	Street Dogs
LOCAL_000220	The High-Lows
LOCAL_000221	Mondo Kane
LOCAL_000222	The Undisputed Truth
LOCAL_000223	Black Oak Arkansas
LOCAL_000224	Lieutenant Pigeon
LOCAL_000225	Rosetta
LOCAL_000226	Aquarium
LOCAL_000227	Klinik
LOCAL_000228	Medicine Head
LOCAL_000229	Purrkur Pillnikk
LOCAL_000230	Edson
LOCAL_000231	Kagrra,
LOCAL_000232	Muchachito Bombo Infierno
LOCAL_000233	Hadouk Trio
LOCAL_000234	Orange Bicycle
LOCAL_000235	Bê
LOCAL_000236	Coverdale and Page
LOCAL_000237	Bitch
LOCAL_000238	The System
LOCAL_000239	Blue System
LOCAL_000240	Level 42
LOCAL_000241	Activate
LOCAL_000242	The Avett Brothers
LOCAL_000243	Limbonic Art
LOCAL_000244	Farafina
LOCAL_000245	Herbstrock
LOCAL_000246	You Say Party
LOCAL_000247	Silver Convention
LOCAL_000248	Kraljevski Apartman
LOCAL_000249	Masterboy
LOCAL_000250	Robbers on High Street
LOCAL_000251	Doves
LOCAL_000252	The Essence
LOCAL_000253	Alastor
LOCAL_000254	The Flatliners
LOCAL_000255	The Punkles
LOCAL_000256	Artists United Against Apartheid
LOCAL_000257	Gnarkill
LOCAL_000258	The Ink Spots
LOCAL_000259	Rabbit Junk
LOCAL_000260	Leaders of the New School
LOCAL_000261	Slot
LOCAL_000262	Fashion
